2025-12-09 08:25:59::error::/v1/api/patientRecord/createPatientRecord::aea4b1c4-db82-409e-882a-d21015803f45::handler-error::{"status":500,"message":"Conversation is not defined"}
2025-12-09 11:46:17::error::/v1/api/user/readDoctorDetail/hello::a9f8974d-492e-4905-b513-4ec79bf7f3b2::handler-error::{"status":500,"message":"Cast to ObjectId failed for value \"hello\" (type string) at path \"_id\" for model \"User\""}
2025-12-09 11:46:17::error::/v1/api/user/readDoctorDetail/hello::a13dd2a1-6a88-4037-80c0-93f8949e59e1::handler-error::{"status":500,"message":"Cast to ObjectId failed for value \"hello\" (type string) at path \"_id\" for model \"User\""}
2025-12-09 11:46:37::error::/v1/api/user/readDoctorDetail/692db0554d9393f00d0734f6::1913a8c5-8578-4f78-89aa-7de8cca67fb4::handler-error::{"status":500,"message":"user is not defined"}
2025-12-09 11:46:37::error::/v1/api/user/readDoctorDetail/692db0554d9393f00d0734f6::4bc53070-5c28-4387-88ae-b9dd052205ce::handler-error::{"status":500,"message":"user is not defined"}
2025-12-09 11:50:22::error::/v1/api/user/readDoctorDetail/hello::6c92db02-9133-41fd-ae61-5dd80f885311::handler-error::{"status":500,"message":"Cast to ObjectId failed for value \"hello\" (type string) at path \"_id\" for model \"User\""}
2025-12-09 11:50:22::error::/v1/api/user/readDoctorDetail/hello::178d6ac0-04f3-43c3-b5bc-2f5a8ecfb5ef::handler-error::{"status":500,"message":"Cast to ObjectId failed for value \"hello\" (type string) at path \"_id\" for model \"User\""}
2025-12-09 11:50:53::error::/v1/api/user/readDoctorDetail/hello::0d2e8685-0785-4a99-88fc-d3623fdf8a59::handler-error::{"status":500,"message":"Cast to ObjectId failed for value \"hello\" (type string) at path \"_id\" for model \"User\""}
2025-12-09 11:51:02::error::/v1/api/user/readDoctorDetail/hello::5c082caa-9bb0-4674-baaf-73ac4cee1da5::handler-error::{"status":500,"message":"Cast to ObjectId failed for value \"hello\" (type string) at path \"_id\" for model \"User\""}
2025-12-09 11:51:15::error::/v1/api/user/readDoctorDetail/hello::305b891b-f822-4847-a19d-99e78f65a781::handler-error::{"status":500,"message":"Cast to ObjectId failed for value \"hello\" (type string) at path \"_id\" for model \"User\""}
2025-12-09 11:51:30::error::/v1/api/user/readDoctorDetail/hello::c1b514f1-5ee8-4099-aae0-9e340f1c8048::handler-error::{"status":500,"message":"Cast to ObjectId failed for value \"hello\" (type string) at path \"_id\" for model \"User\""}
2025-12-09 11:51:48::error::/v1/api/user/readDoctorDetail/hello::6128572c-4e1d-46c2-957e-a042b229b494::handler-error::{"status":500,"message":"Cast to ObjectId failed for value \"hello\" (type string) at path \"_id\" for model \"User\""}
2025-12-09 11:51:48::error::/v1/api/user/readDoctorDetail/hello::a2d614bf-5dcd-45fc-bd55-312f09012973::handler-error::{"status":500,"message":"Cast to ObjectId failed for value \"hello\" (type string) at path \"_id\" for model \"User\""}
2025-12-09 11:51:57::error::/v1/api/user/readDoctorDetail/hello::1ca571cb-ce91-4561-a966-bd7701a35481::handler-error::{"status":500,"message":"Cast to ObjectId failed for value \"hello\" (type string) at path \"_id\" for model \"User\""}
2025-12-09 11:52:12::error::/v1/api/user/readDoctorDetail/hello::ed01bc36-8f35-40b1-898e-3c1a0138025c::handler-error::{"status":500,"message":"Cast to ObjectId failed for value \"hello\" (type string) at path \"_id\" for model \"User\""}
2025-12-09 11:52:17::error::/v1/api/user/readDoctorDetail/hello::06ce63d2-44b5-475d-80fd-f1e17aa376ff::handler-error::{"status":500,"message":"Cast to ObjectId failed for value \"hello\" (type string) at path \"_id\" for model \"User\""}
2025-12-09 13:42:56::error::/v1/api/user/me::d9ff05bb-1769-4b58-9c88-6bccd46f4eb8::handler-error::{"status":403,"message":"Access token missing"}
2025-12-09 13:42:56::error::/v1/api/user/me::bd726c67-173d-4795-bc2f-a0d402589bb8::handler-error::{"status":403,"message":"Access token missing"}
2025-12-09 13:43:07::error::/v1/api/user/me::c7dc2d6b-f3ac-403a-ad92-e35823e9c677::handler-error::{"status":403,"message":"Access token missing"}
2025-12-09 13:43:07::error::/v1/api/user/me::5b2404de-903e-4eda-ba33-d0e04c8b3f79::handler-error::{"status":403,"message":"Access token missing"}
2025-12-09 13:43:31::error::/v1/api/user/me::32124c68-1856-41da-a51e-5cd3821fab61::handler-error::{"status":403,"message":"Access token missing"}
2025-12-09 13:43:31::error::/v1/api/user/me::26486f71-61cd-4f31-b5e4-bf6a182ba983::handler-error::{"status":403,"message":"Access token missing"}
2025-12-09 13:43:40::error::/v1/api/user/me::1ece6f1f-9bf6-4424-a6fb-84860e003402::handler-error::{"status":403,"message":"Access token missing"}
2025-12-09 13:43:40::error::/v1/api/user/me::a3de5603-bc08-430e-8c15-07958b7b4ac8::handler-error::{"status":403,"message":"Access token missing"}
2025-12-09 13:43:45::error::/v1/api/user/me::ea711ee4-f1a5-4eff-b170-273f9d962cbd::handler-error::{"status":403,"message":"Access token missing"}
2025-12-09 13:43:45::error::/v1/api/user/me::84f3ef8c-3234-41e8-8e35-1e4981ee9a63::handler-error::{"status":403,"message":"Access token missing"}
2025-12-09 13:43:47::error::/v1/api/user/me::41772cdf-06fc-49f8-9bda-2e34f44354e7::handler-error::{"status":403,"message":"Access token missing"}
2025-12-09 13:43:47::error::/v1/api/user/me::3143d0e2-ee44-46d1-8515-8e4cc0a5fd0d::handler-error::{"status":403,"message":"Access token missing"}
2025-12-09 13:43:53::error::/v1/api/user/me::29a4ccef-cb1e-49ae-8445-54b4c18f6a13::handler-error::{"status":403,"message":"Access token missing"}
2025-12-09 13:43:53::error::/v1/api/user/me::0d5e3cb1-f063-464a-ba98-38724f3924c5::handler-error::{"status":403,"message":"Access token missing"}
2025-12-09 13:45:20::error::/v1/api/user/me::b4f8de57-aa3b-4305-9bce-4d69cb12aa32::handler-error::{"status":403,"message":"Access token missing"}
2025-12-09 13:45:20::error::/v1/api/user/me::219d92d8-c364-4936-8bcb-c60292b2be43::handler-error::{"status":403,"message":"Access token missing"}
2025-12-09 13:52:39::error::/v1/api/auth/signin::a9514d76-d737-4385-bed4-bd19255b0520::handler-error::{"status":404,"message":"Not Found Route"}
2025-12-09 13:53:44::error::/v1/api/auth/signin::4154ca40-5bd3-4af6-ad4e-922e9bedcec9::handler-error::{"status":404,"message":"Not Found Route"}
2025-12-09 13:59:03::error::/v1/api/user/me::d5b862c9-95f2-4369-9b7c-4a1df34e6a6e::handler-error::{"status":403,"message":"Access token missing"}
2025-12-09 13:59:03::error::/v1/api/user/me::50855514-6be0-411f-978c-9c119c9a2ce9::handler-error::{"status":403,"message":"Access token missing"}
